Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Samsung Galaxy S II Skyrocket i727,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,"4, 17",,,,"HSPA 21.1/5.76 Mbps, LTE",2011,130,129.8,68.8,9.5,"Accelerometer, gyro, proximity, compass",185.91,OLED,4.5,480,800,android 2,microsdhc,16777216,1048576,Li-Ion,1850,1,1080
Samsung C3330 Champ 2,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 - C3330,,,,Class 12,Yes,,2011,79,96,52.6,12.2,,77.52,TFT,2.4,240,320,,microsdhc,20480,,Li-Ion,1000,1,Yes
Samsung Exhibit II 4G T679,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700 / 2100  / 1900,,,,,HSPA 14.4/5.76 Mbps,2011,116,115,60,11,"Accelerometer, proximity, compass",108.55,TFT,3.7,480,800,android 2,microsdhc,1048576,524288,Li-Ion,1500,1,480
Samsung C3350,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Yes,Yes,,2011,110,122,53,17.9,,95.74,TFT,2.2,240,320,,microsdhc,38912,,Li-Ion,1300,1,176
Samsung C3520,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2011,97,102,52,16.8,,56.37,TFT,2.4,240,320,,microsdhc,28672,,Li-Ion,800,1,320
Samsung Galaxy Nexus i515,Samsung,CDMA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,13,,,,"EV-DO Rev.A 3.1 Mbps, LTE",2011,150,135.5,67.9,9.5,"Accelerometer, gyro, proximity, compass, barometer",151.08,OLED,4.65,720,1280,android 4,no,33554432,1048576,Li-Ion,1850,1,1080
Samsung Galaxy Nexus I9250,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700 / 1900 / 2100 ,30 - India,,,,HSPA 21.1/5.76 Mbps,2011,135,135.5,67.9,8.9,"Accelerometer, gyro, proximity, compass, barometer",187.71,OLED,4.65,720,1280,android ,no,16777216,1048576,Li-Ion,1750,1,1080
Samsung I9100G Galaxy S II,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,116,125.3,66.1,8.5,"Accelerometer, gyro, proximity, compass",221.17,OLED,4.3,480,800,android 2,microsdxc,16777216,1048576,Li-Ion,1650,1,1080
Samsung I405 Stratosphere,Samsung,CDMA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,13,,,,EV-DO Rev.A 3.1 Mbps,2011,164,126,65,14,"Accelerometer, proximity, compass",125.91,OLED,4,480,800,android 2,microsdhc,4194304,524288,Li-Ion,1800,1,480
Samsung R730 Transfix,Samsung,CDMA / EVDO,CDMA 800 / 1900 / 850,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,126,114,57,15,"Accelerometer, proximity, compass",138.1,TFT,3.2,320,480,android 2,microsdhc,128000,,Li-Ion,1500,1,Yes
Samsung i927 Captivate Glide,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,147,124,64,13,"Accelerometer, gyro, proximity, compass",115.09,OLED,4,480,800,android 2,microsdhc,8388608,1048576,Li-Ion,1650,1,720
Samsung DoubleTime I857,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2011,148,113,62,15,"Accelerometer, proximity, compass",78.7,TFT,3.2,320,480,android 2,microsdhc,266240,262144,Li-Ion,1200,1,320
Samsung M930 Transform Ultra,Samsung,CDMA / EVDO,CDMA 800 / 1900 / 850,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,139,116,61,14,"Accelerometer, proximity, compass",108.06,TFT,3.5,320,480,android 2,microsdhc,974848,,Li-Ion,1500,1,480
Samsung P6210 Galaxy Tab 7.0 Plus,Samsung,No cellular connectivity, N/A,,,,No,No,,2011,345,193.7,122.4,9.9,"Accelerometer, gyro, compass",266.26,PLS,7,600,1024,android 3,microsdhc,33554432,1048576,Li-Ion,4000,1,720
Samsung P6200 Galaxy Tab 7.0 Plus,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,345,193.7,122.4,9.9,"Accelerometer, gyro, proximity, compass",262.28,PLS,7,600,1024,android 3,microsdxc,33554432,1048576,Li-Ion,4000,1,720
Samsung Omnia W I8350,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,2011,115,115.6,58.8,10.9,"Accelerometer, gyro, proximity, compass",154.2,OLED,3.7,480,800,Microsoft Windows Phone 7.5 Mango,no,8388608,524288,Li-Ion,1500,1,720
Samsung Galaxy S II HD LTE,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE",2011,130,129.8,68.8,9.5,"Accelerometer, gyro, proximity, compass",188.43,OLED,4.65,720,1280,android 2,microsdhc,16777216,1048576,Li-Ion,1850,1,1080
Samsung Ch@t 527,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 2100 ,,,,,HSPA,2011,96,103,55,12,Compass,95.75,TFT,2.4,320,240,,microsdhc,81920,,Li-Ion,1000,1,Yes
Samsung P6810 Galaxy Tab 7.7,Samsung,No cellular connectivity, N/A,,,,No,No,,2011,340,196.7,133,7.9,"Accelerometer, gyro, compass",288.3,OLED,7.7,800,1280,android 3,microsdhc,67108864,16777216,Li-Po,5100,1,720
Samsung P6800 Galaxy Tab 7.7,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,340,196.7,133,7.9,"Accelerometer, gyro, proximity, compass",282.49,OLED,7.7,800,1280,android 3,microsdhc,67108864,16777216,Li-Po,5100,1,720
Samsung Galaxy Note N7000,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"4, 17 - AT&T",,,,"HSPA 21.1/5.76 Mbps, LTE",2011,178,146.9,83,9.7,"Accelerometer, gyro, proximity, compass, barometer",273.84,OLED,5.3,800,1280,android 2,microsdxc,33554432,1048576,Li-Ion,2500,1,1080
Samsung Galaxy S II I777,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,121,126,66,8.9,"Accelerometer, gyro, proximity, compass",178.13,OLED,4.3,480,800,android 2,microsdhc,33554432,1048576,Li-Ion,1650,1,1080
Samsung Galaxy S II X T989D,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700 / 1900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,2011,109,131,67.3,9.4,"Accelerometer, gyro, proximity, compass",186.93,OLED,4.52,480,800,android 2,microsdhc,16777216,1048576,Li-Ion,,1,1080
Samsung Galaxy S II T989,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700 / 1900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,2011,135,129.8,68.8,9.4,"Accelerometer, gyro, proximity, compass",162.91,OLED,4.52,480,800,android 2,microsdhc,33554432,1048576,Li-Ion,1850,1,1080
Samsung Galaxy S II Epic 4G Touch,Samsung,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,130,130,70,10,"Accelerometer, gyro, proximity, compass",131.46,OLED,4.52,480,800,android 2,microsdhc,16777216,1048576,Li-Ion,1800,1,1080
Samsung S8600 Wave 3,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,2011,122,125.9,64.2,9.9,"Accelerometer, proximity, compass",150.67,OLED,4,480,800,bada,microsdhc,4194304,,Li-Ion,1500,1,720
Samsung Wave M S7250,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,121,113.8,63.3,12.2,"Accelerometer, proximity",126.99,TFT,3.65,320,480,bada,microsdhc,153600,,Li-Ion,1350,1,480
Samsung Wave Y S5380,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,102,110,58.2,12.3,"Accelerometer, proximity",93.45,TFT,3.2,320,480,bada,microsdhc,153600,,Li-Ion,1200,1,480
Samsung Galaxy S II LTE i727R,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,"4, 17 - AT&T",,,,"HSPA 21.1/5.76 Mbps, LTE",2011,132,130.9,69.9,9.4,"Accelerometer, gyro, proximity, compass",162.99,OLED,4.5,480,800,android 2,microsdhc,16777216,1048576,Li-Ion,1850,1,1080
Samsung Galaxy S II LTE I9210,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE",2011,132,130.9,69.9,9.4,"Accelerometer, gyro, proximity, compass",200.54,OLED,4.5,480,800,android 2,microsdhc,16777216,1048576,Li-Ion,1850,1,1080
Samsung Galaxy Tab 8.9 LTE I957,Samsung,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 - for AT&T,"4, 17 - AT&T",,,,"HSPA, LTE",2011,455,230.9,157.8,8.6,"Accelerometer, gyro, compass",338.6,PLS,8.9,800,1280,android 3,no,33554432,1048576,Li-Ion,6100,1,720
Samsung Galaxy W I8150,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,2011,114,115.5,59.8,11.5,"Accelerometer, proximity, compass",162.38,TFT,3.7,480,800,android 2,microsdhc,2097152,524288,Li-Ion,1500,1,720
Samsung Galaxy M Pro B7800,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2011,108,113.5,66,10,"Accelerometer, proximity, compass",203.97,TFT,2.66,480,320,android 2,microsdhc,,,Li-Ion,1350,1,Yes
Samsung Galaxy Y Pro B5510,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,108,110.8,63.5,11.5,"Accelerometer, proximity, compass",114.43,TFT,2.6,320,240,android 2,microsdhc,163840,,Li-Ion,1200,1,320
Samsung Galaxy Y TV S5367,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,98,107,60,19,"Accelerometer, proximity, compass",188.36,TFT,3.14,240,320,android 2,microsdhc,184320,,Li-Ion,1200,1,Yes
Samsung Galaxy Y S5360,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,97,104,58,11.5,"Accelerometer, proximity, compass",75.49,TFT,3,240,320,android 2,microsdhc,296960,184320,Li-Ion,1200,1,320
Samsung Gravity TXT T379,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 1700 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,112,112,53,14,,,TFT,2.44,240,320,,microsdhc,117760,,Li-Ion,1000,1,Yes
Samsung Galaxy Q T589R,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA 7.2/0.384 Mbps,2011,135,113.9,58.7,13.9,"Accelerometer, proximity, compass",121.61,IPS,3.2,320,480,android 2,microsdhc,,,Li-Ion,,1,Yes
Samsung S5610,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,91,118.9,49.7,12.9,,84.43,TFT,2.4,240,320,,microsdhc,110592,,Li-Ion,1000,1,320
Samsung S3770,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,80,96.3,53.8,13,Accelerometer,101.29,TFT,2.8,240,320,,microsdhc,102400,,Li-Ion,1000,1,Yes
Samsung S5690 Galaxy Xcover,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2011,100,121.5,65.9,12,"Accelerometer, proximity, compass",96.92,IPS,3.65,320,480,android 2,microsdhc,524288,153600,Li-Ion,1500,1,480
Samsung Galaxy S II 4G I9100M,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 /1800,,,,,HSPA 21.1/5.76 Mbps,2011,116,125.3,66.1,8.5,"Accelerometer, gyro, proximity, compass",261.97,OLED,4.3,480,800,android 2,microsdhc,16777216,1048576,Li-Ion,1700,1,1080
Samsung I9103 Galaxy R,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,135,125,66,9.5,"Accelerometer, gyro, proximity, compass",205.79,LCD,4.2,480,800,android 2,microsdhc,8388608,1048576,Li-Ion,1650,1,720
Samsung R720 Admire,Samsung,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,"EV-DO Rev.0, 153.2 Kbps",2011,117,116,60,12,"Accelerometer, proximity",98.21,TFT,3.5,320,480,android 2,microsdhc,,,Li-Ion,1600,1,Yes
Samsung Convoy 2,Samsung,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,111,99,51,22,,106.44,TFT,2.2,240,320,,microsdhc,262144,131072,Li-Ion,1300,1,Yes
Samsung Conquer 4G,Samsung,CDMA / EVDO,CDMA 800 / 1900 /850,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,116,116.1,60.5,11.7,"Accelerometer, proximity, compass",90.93,TFT,3.5,320,480,android 2,microsdhc,1048576,524288,Li-Ion,1500,1,Yes
Samsung R640 Character,Samsung,CDMA / CDMA2000,CDMA 800 / 1900 ,CDMA2000 1x ,,,,,"Yes, 384 kbps",2011,120,107,55,15,,130.66,TFT,2.8,240,320,,microsdhc,,,Li-Ion,1000,1,
Samsung R380 Freeform III,Samsung,CDMA,CDMA 800 / 1900 ,,,,No,No,,2011,92,112,61,11,,85.14,TFT,2.4,480,320,,microsdhc,102400,,Li-Ion,1000,1,Yes
Samsung Trender,Samsung,CDMA / EVDO,CDMA 800 ,CDMA2000 1xEV-DO ,,,,,"EV-DO Rev.0, 153.2 Kbps",2011,113,107,56,15,Accelerometer,72.26,TFT,2.8,240,320,,microsdhc,,,Li-Ion,1000,1,
Samsung Gravity SMART,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 1700 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2011,130,114,59,14,"Accelerometer, proximity",174.01,TFT,3.2,320,480,android 2,microsdhc,276480,153600,Li-Ion,1500,1,320
Samsung Exhibit 4G,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 1700 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,125,119,58,13,"Accelerometer, proximity, compass",208.07,OLED,3.5,480,800,android 2,microsdhc,1048576,524288,Li-Ion,1500,1,480
Samsung E1195,Samsung,GSM,GSM 900 / 1800 ,,,,No,No,,2011,71,88,44,18.9,,21.34,CSTN,1.43,128,128,,no,8192,,Li-Ion,800,0,
Samsung C414,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA 3.6/0.384 Mbps,2011,89,98.5,49.2,16.9,,85.76,TFT,2.2,240,320,,microsdhc,122880,,Li-Ion,,1,Yes
Samsung E1190,Samsung,GSM,GSM 900 / 1800 ,,,,No,No,,2011,71,88,44,18.9,,38.4,CSTN,1.43,128,128,,no,,,Li-Ion,800,0,
Samsung C3560,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Yes,Yes,,2011,84,94.8,46.7,16.6,,55.98,TFT,2.2,240,320,,microsdhc,51200,,Li-Ion,800,1,Yes
Samsung Dart T499,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 1700 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,108,104,61,13,"Accelerometer, proximity, compass",62.4,TFT,3.14,240,320,android 2,microsdhc,,,Li-Ion,1200,1,320
Samsung C3322,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 10,Class 10,,2011,89,114,48,13.9,,76.3,TFT,2.2,240,320,,microsdhc,46080,,Li-Ion,1000,1,CIF
Samsung R260 Chrono,Samsung,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,"EV-DO Rev.0, 153.2 Kbps",2011,89,94,46,17,,88.14,TFT,2,240,320,,no,,,Li-Ion,800,1,Yes
Samsung E2232,Samsung,GSM,GSM 900 / 1800 - SIM 1,,,,Class 10,No,,2011,79,109.2,46,14.9,,75.17,TFT,1.77,128,160,,microsdhc,20480,,Li-Ion,1000,1,Other
Samsung E1182,Samsung,GSM,GSM 900 / 1800 ,,,,No,No,,2011,68,106.9,44.4,13.9,,54.64,CSTN,1.52,128,128,,no,,,Li-Ion,1000,0,
Samsung I9001 Galaxy S Plus,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,2011,119,122.4,64.2,9.9,"Accelerometer, proximity, compass",238.46,OLED,4,480,800,android 2,microsdhc,16777216,524288,Li-Ion,1650,1,720
Samsung DuosTV I6712,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 12,Yes,,2011,102,109.5,61,12,Accelerometer,204.42,TFT,3.2,240,400,,microsdhc,20480,,Li-Ion,1200,1,320
Samsung C6712 Star II DUOS,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 12,Yes,,2011,100,109.5,56,12.2,Accelerometer,83.92,TFT,3.2,240,400,,microsdhc,30720,,Li-Ion,1200,1,320
Samsung Ch@t 222,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 10,Class 10,,2011,90,109.5,61.3,11.9,,47.6,TFT,2.2,220,176,,microsdhc,44032,,Li-Ion,1000,1,CIF
Samsung Ch@t 220,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2011,92,109.5,61.3,11.9,,47.03,TFT,2.2,220,176,,microsdhc,48128,,Li-Ion,1000,1,CIF
Samsung M580 Replenish,Samsung,CDMA / CDMA2000,CDMA 800 / 1900 ,CDMA2000 1x ,,,,,"EV-DO Rev.0, 153.2 Kbps",2011,116,123,60,11,,87.07,TFT,2.8,240,320,android 2,microsdhc,524288,262144,Li-Ion,1160,1,Yes
Samsung Galaxy Prevail,Samsung,CDMA / CDMA2000,CDMA 800 / 1900 ,CDMA2000 1x ,,,,,"EV-DO Rev.0, 153.2 Kbps",2011,108,113,57,12,"Accelerometer, proximity, compass",94.86,TFT,3.2,320,480,android 2,microsdhc,119808,,Li-Ion,1500,1,320
Samsung M220L Galaxy Neo,Samsung,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,121,115.9,56.9,12.1,"Accelerometer, proximity",80.03,TFT,3.5,480,800,android 2,microsdhc,4194304,524288,Li-Ion,1500,1,Yes
Samsung Google Nexus S I9020A,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 - i9020A for AT&T,,,,,HSPA 7.2/5.76 Mbps,2011,129,123.9,63,10.9,"Accelerometer, gyro, proximity, compass, barometer",278.59,OLED,4,480,800,android 2,no,16777216,524288,Li-Ion,1500,1,480
Samsung Google Nexus S I9023,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1700 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2011,129,123.9,63,10.9,"Accelerometer, gyro, proximity, compass, barometer",187.36,S-LCD,4,480,800,android 2,no,16777216,,Li-Ion,1500,1,480
Samsung E2230,Samsung,GSM,GSM 900 / 1800 ,,,,Yes,No,,2011,79,109,46,14.9,,54.34,TFT,1.8,128,160,,microsdhc,4096,,Li-Ion,1000,1,Other
Samsung P1010 Galaxy Tab Wi-Fi,Samsung,No cellular connectivity, N/A,,,,No,No,,2011,380,190.1,120.5,12,"Accelerometer, gyro, proximity",155.11,TFT,7,600,1024,android 2,microsdhc,16777216,606208,Li-Po,4000,1,480
Samsung P7500 Galaxy Tab 10.1 3G,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,565,256.7,175.3,8.6,"Accelerometer, gyro, compass",378.42,PLS,10.1,800,1280,android 3,no,67108864,16777216,Li-Po,7000,1,720
Samsung Galaxy Tab 10.1 LTE I905,Samsung,CDMA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,13,,,,"EV-DO Rev.A 3.1 Mbps, LTE",2011,565,256.7,175.3,8.6,"Accelerometer, gyro, compass",293.23,PLS,10.1,800,1280,android 3,no,33554432,1048576,Li-Po,6800,1,720
Samsung Galaxy Tab 10.1 P7510,Samsung,No cellular connectivity, N/A,,,,No,No,,2011,560,256.7,175.3,8.6,"Accelerometer, gyro, compass",316.14,PLS,10.1,800,1280,android 3,no,67108864,16777216,Li-Po,7000,1,720
Samsung Galaxy Tab 8.9 P7300,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,453,230.9,157.8,8.6,"Accelerometer, gyro, compass",293.61,PLS,8.9,800,1280,android 3,no,67108864,16777216,Li-Po,6000,1,720
Samsung Galaxy Tab 8.9 P7310,Samsung,No cellular connectivity, N/A,,,,No,No,,2011,447,230.9,157.8,8.6,"Accelerometer, gyro, compass",355.69,PLS,8.9,800,1280,android 3,no,67108864,16777216,Li-Po,6000,1,720
Samsung Google Nexus S 4G,Samsung,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,131,123.9,63,10.9,"Accelerometer, gyro, proximity, compass, barometer",158.63,OLED,4,480,800,android 2,no,16777216,524288,Li-Ion,1500,1,480
Samsung M260 Factor,Samsung,CDMA,CDMA 800 / 1900 ,,,,No,No,,2011,91,97,48,18,,90.82,TFT,2,128,160,,no,262144,131072,Li-Ion,800,1,Yes
Samsung S3850 Corby II,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Yes,,2011,102,109.9,60.6,11.7,Accelerometer,84.81,TFT,3.2,240,320,TouchWiz UI,microsdhc,26624,,Li-Ion,1000,1,320
Samsung Galaxy Pro B7510,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,103,108.6,66.7,10.7,"Accelerometer, proximity, compass",128.65,TFT,2.8,320,240,android 2,microsdhc,276480,,Li-Ion,1350,1,320
Samsung I9100 Galaxy S II,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,116,125.3,66.1,8.5,"Accelerometer, gyro, proximity, compass",170.72,OLED,4.3,480,800,android 2,microsdhc,33554432,1048576,Li-Ion,1650,1,1080
Samsung E2652W Champ Duos,Samsung,GSM,GSM 900 / 1800 / 1900 - SIM 1,,,,Class 10,Class 10,,2011,88,99.9,54.9,13,,94.14,TFT,2.6,240,320,,microsdhc,51200,,Li-Ion,1000,1,CIF
Samsung E2652 Champ Duos,Samsung,GSM,GSM 900 / 1800 / 1900 - SIM 1,,,,Class 10,Class 10,,2011,88,99.9,54.9,13,,76.9,TFT,2.6,240,320,,microsdhc,51200,,Li-Ion,1000,1,CIF
Samsung Galaxy S WiFi 5.0,Samsung,No cellular connectivity, N/A,,,,No,No,,2011,182,141.3,78.2,11.9,"Accelerometer, compass",185.83,LCD,5,480,800,android 2,microsdhc,16777216,,Li-Po,2500,1,Yes
Samsung P7100 Galaxy Tab 10.1v,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,589,246.2,170.4,10.9,"Accelerometer, gyro, proximity, compass",291.59,TFT,10.1,800,1280,android 3,no,33554432,,Li-Po,6860,1,1080
Samsung S5780 Wave 578,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2011,99,107.9,54.9,12.5,"Accelerometer, proximity",110.35,TFT,3.2,240,400,bada,microsdhc,102400,,Li-Ion,1200,1,320
Samsung Ch@t 350,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2011,99,99.5,52,15.5,,83.46,TFT,2.4,320,240,,microsdhc,20480,,Li-Ion,960,1,CIF
Samsung E3213 Hero,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2011,80,112.8,46.4,13.2,,41.72,TFT,2,128,160,,microsdhc,36864,,Li-Ion,800,1,Yes
Samsung E3210,Samsung,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2011,79,112.8,46.4,12.9,,76.26,TFT,2,128,160,,microsdhc,36864,,Li-Ion,800,1,Yes
Samsung E2330,Samsung,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2011,87,98,47.5,14.9,,68.07,TFT,2,128,160,,microsdhc,4096,,Li-Ion,800,1,Yes
