Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Acer Liquid E3,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,2014,134,136,68,9,"Accelerometer, proximity",204.97,IPS,4.7,720,1280,android 4,microsdhc,4194304,1048576,Li-Ion,2500,1,Yes
Acer Liquid Z4,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,2014,122,124,64,9.7,"Accelerometer, proximity",107.46,TFT,4,480,800,android 4,microsdxc,4194304,524288,Li-Ion,1630,1,720
Acer Iconia B1-721,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,2014,323,199,122.3,11.4,Accelerometer,135.57,TFT,7,600,1024,android 4,microsdhc,16777216,1048576,Li-Po,2955,1,Yes
Acer Iconia B1-720,Acer,No cellular connectivity, N/A,,,,No,No,,2014,315,198.1,121.9,10.2,Accelerometer,107.76,TFT,7,600,1024,android 4,microsdhc,16777216,1048576,Li-Po,2955,1,Yes
Acer Iconia A1-830,Acer,No cellular connectivity, N/A,,,,No,No,,2014,380,203,138.4,8.2,Accelerometer,135.2,IPS,7.9,768,1024,android 4,microsdhc,16777216,1048576,Li-Ion,4000,1,1080
Acer Liquid Z5,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2014,150,145.5,73.5,8.8,"Accelerometer, proximity",176.34,TFT,5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Acer Liquid S2,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7, 20",,,,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps",2013,229,166,86.2,9,"Accelerometer, gyro, proximity, compass",340.41,IPS,6,1080,1920,android 4,microsdxc,16777216,2097152,Li-Po,3300,1,4K
Acer Liquid Z3,Acer,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2013,120,109,60,10.4,"Accelerometer, proximity",102.05,TFT,3.5,320,480,android 4,microsdhc,4194304,524288,Li-Ion,1500,1,Yes
Acer Liquid S1,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,2013,195,163,83,9.6,"Accelerometer, gyro, proximity, compass",322.6,TFT,5.7,720,1280,android 4,microsdhc,8388608,1048576,Li-Po,2400,1,1080
Acer Iconia Tab A3,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2013,560,260,175,10.2,"Accelerometer, gyro",190.72,IPS,10.1,800,1280,android 4,microsdhc,33554432,1048576,Li-Po,7300,1,1080
Acer Iconia Tab A1-811,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,2013,430,208.7,145.7,11.1,"Accelerometer, gyro",152.1,TFT,7.9,768,1024,android 4,microsdhc,8388608,1048576,Li-Ion,4960,1,Yes
Acer Iconia Tab A1-810,Acer,No cellular connectivity, N/A,,,,No,No,,2013,410,208.7,145.7,11.1,"Accelerometer, gyro",120.91,IPS,7.9,768,1024,android 4,microsdhc,16777216,1048576,Li-Ion,4960,1,Yes
Acer Liquid E2,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2013,140,131,68,9.9,"Accelerometer, gyro, proximity, compass",182.5,IPS,4.5,540,960,android 4,microsdhc,4194304,1048576,Li-Ion,2000,1,1080
Acer Liquid Z2,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2013,110,110,62.5,12.3,"Accelerometer, proximity",105.72,TFT,3.5,320,480,android 4,microsdhc,4194304,524288,Li-Ion,1300,1,Yes
Acer Liquid C1,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2013,140,127.3,65.5,10,"Accelerometer, proximity",183.28,IPS,4.3,540,960,android 4,microsdhc,4194304,1048576,Li-Ion,2000,1,Yes
Acer Liquid E1,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2013,130,132,68.5,9.9,"Accelerometer, gyro, proximity, compass",173.33,IPS,4.5,540,960,android 4,microsdhc,4194304,1048576,Li-Ion,1760,1,720
Acer Iconia Tab B1-710,Acer,No cellular connectivity, N/A,,,,No,No,,2013,339,198.1,129.5,12.7,Accelerometer,111.89,TFT,7,600,1024,android ,microsdhc,8388608,1048576,Li-Ion,2640,1,Yes
Acer Iconia Tab B1-A71,Acer,No cellular connectivity, N/A,,,,No,No,,2013,320,197.4,128.5,11.3,Accelerometer,102.4,TFT,7,600,1024,android 4,microsdhc,16777216,524288,Li-Po,2710,1,Yes
Acer Iconia Tab A110,Acer,No cellular connectivity, N/A,,,,No,No,,2012,390,193,126.5,11.4,"Accelerometer, gyro, compass",158.43,TFT,7,600,1024,android 4,microsdhc,8388608,1048576,Li-Po,3420,1,720
Acer Liquid Z110,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 - SIM 1 only,,,,,HSPA 7.2/0.384 Mbps,2012,100,110,61.5,12.3,"Accelerometer, proximity",105.83,TFT,3.5,320,480,android 2,microsdhc,4194304,524288,Li-Po,1300,1,Yes
Acer Liquid Gallant E350,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2012,145,129,65.9,9.9,"Accelerometer, proximity",165.48,TFT,4.3,540,960,android 4,microsdhc,4194304,1048576,Li-Ion,1500,1,Yes
Acer Liquid Gallant Duo,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2012,145,129,65.9,9.9,"Accelerometer, proximity",141.54,TFT,4.3,540,960,android 4,microsdhc,4194304,1048576,Li-Ion,1500,1,Yes
Acer Liquid Glow E330,Acer,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2012,125,117,58.5,11.5,"Accelerometer, proximity, compass",126.56,TFT,3.7,480,800,android 4,microsdhc,1048576,524288,Li-Ion,1300,1,Yes
Acer CloudMobile S500,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA,2012,122,127,65.8,9.9,"Accelerometer, proximity, compass",221.47,IPS,4.3,720,1280,android 4,microsdhc,8388608,1048576,Li-Ion,1460,1,1080
Acer Iconia Tab A210,Acer,No cellular connectivity, N/A,,,,No,No,,2012,685,259.1,175.3,12.2,"Accelerometer, gyro",263.42,TFT,10.1,800,1280,android 4,microsdhc,16777216,1048576,Li-Po,3260,1,Yes
Acer Iconia Tab A200,Acer,No cellular connectivity, N/A,,,,No,No,,2012,700,260,175,12.4,"Accelerometer, gyro",208.91,IPS,10.1,800,1280,android 3,microsdhc,16777216,1048576,Li-Po,3260,1,Yes
Acer Iconia Tab A701,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2012,667,259.8,175,10.9,"Accelerometer, gyro, compass",385.76,LCD,10.1,1920,1200,android 4,microsdhc,67108864,16777216,Li-Po,9800,1,720
Acer Iconia Tab A700,Acer,No cellular connectivity, N/A,,,,No,No,,2012,665,259,175,11,"Accelerometer, gyro, compass",235.01,LCD,10.1,1920,1200,android 4,microsdhc,67108864,16777216,Li-Ion,9800,1,720
Acer Iconia Tab A511,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2012,777,260,175,11,"Accelerometer, gyro, proximity, compass",256.16,TFT,10.1,1280,800,android 4,microsdhc,33554432,1048576,Li-Po,9800,1,720
Acer Iconia Tab A510,Acer,No cellular connectivity, N/A,,,,No,No,,2012,680,259.1,175.3,10.2,"Accelerometer, gyro, compass",237.59,TFT,10.1,1280,800,android 4,microsdhc,33554432,1048576,Li-Po,9800,1,720
Acer Allegro,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2011,126,116,59,13,"Accelerometer, proximity, compass",146.98,TFT,3.6,480,800,Microsoft Windows Phone 7.5 Mango,no,8388608,,Li-Ion,1300,1,Yes
Acer Liquid Express E320,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2011,138,115,60.8,13.4,"Accelerometer, proximity",92.06,TFT,3.5,320,480,android 2,microsdhc,524288,524288,Li-Ion,,1,Yes
Acer Iconia Tab A501,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,777,260,177,13.3,"Accelerometer, gyro, proximity, compass",490.29,Color,10.1,800,1280,android 3,microsdhc,67108864,16777216,Li-Po,3260,1,Yes
Acer Iconia Tab A500,Acer,No cellular connectivity, N/A,,,,No,No,,2011,730,260,177,13.3,"Accelerometer, gyro, proximity",202.84,Color,10.1,800,1280,android 3,microsdhc,33554432,1048576,Li-Po,3260,1,Yes
Acer Iconia Smart,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,2011,185,141.7,64.5,13.6,"Accelerometer, gyro, proximity",222.41,TFT,4.8,480,1024,android 2,microsdhc,8388608,524288,Li-Po,1500,1,720
Acer Iconia Tab A101,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2011,470,195,117,13.1,"Accelerometer, gyro, compass",261.9,LCD,7,600,1024,android 3,microsdhc,16777216,1048576,Li-Po,1530,1,720
Acer Iconia Tab A100,Acer,No cellular connectivity, N/A,,,,No,No,,2011,450,195,117,13.1,"Accelerometer, gyro, compass",108.49,LCD,7,600,1024,android 3,microsdhc,16777216,1048576,Li-Po,1530,1,720
Acer Liquid mini E310,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2011,108,110.4,57.5,13,"Accelerometer, proximity, compass",127.89,TFT,3.2,320,480,android 2,microsdhc,524288,524288,Li-Ion,1300,1,480
Acer beTouch E210,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2011,109,116,63,12,"Accelerometer, compass",152.83,TFT,2.6,320,240,android 2,microsdhc,524288,262144,Li-Ion,1300,1,Yes
Acer beTouch E140,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2010,95,104.5,55.8,12.8,"Accelerometer, compass",115.9,TFT,2.8,240,320,android 2,microsdhc,524288,262144,Li-Ion,1300,1,Yes
