DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
TFT,1.8,128.0,160.0,,no,4096.0,,Li-Ion,400.0,0,
TFT,2.4,240.0,320.0,,no,16384.0,,Li-Ion,750.0,1,
IPS,5.5,1080.0,1920.0,android 5,microsdxc,16777216.0,2097152.0,Li-Ion,2910.0,1,1080
IPS,10.1,800.0,1280.0,android 5,microsdxc,16777216.0,1048576.0,Li-Ion,4060.0,1,Yes
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1450.0,1,1080
IPS,5.0,720.0,1280.0,android 5,microsdhc,16777216.0,2097152.0,Li-Ion,2000.0,1,1080
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,Yes
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,1080
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,2500.0,1,1080
IPS,5.5,720.0,1280.0,android 4,microsdhc,16777216.0,2097152.0,Li-Ion,3500.0,1,1080
TFT,4.5,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,2000.0,1,1080
IPS,5.5,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,3200.0,1,1080
IPS,5.5,1080.0,1920.0,android 5,microsdxc,33554432.0,2097152.0,Li-Ion,2910.0,1,1080
IPS,4.7,720.0,1280.0,android 5,microsdxc,16777216.0,1572864.0,Li-Ion,2000.0,1,1080
TFT,3.5,320.0,480.0,firefox,microsdhc,524288.0,262144.0,Li-Ion,1300.0,1,Yes
TFT,5.5,720.0,1280.0,android 5,microsdxc,8388608.0,1048576.0,Li-Ion,2800.0,1,Yes
IPS,5.5,540.0,960.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,2910.0,1,Yes
TFT,8.0,800.0,1280.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,3240.0,1,Yes
TFT,7.0,600.0,1024.0,android 5,microsdhc,4194304.0,1048576.0,Li-Ion,2820.0,1,Yes
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,2820.0,1,Yes
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,2820.0,1,Yes
IPS,9.6,800.0,1280.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,4600.0,1,1080
TFT,5.0,480.0,854.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,1800.0,1,720
TFT,4.5,480.0,854.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,1400.0,1,720
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1400.0,1,720
TFT,3.5,320.0,480.0,firefox,microsdhc,524288.0,262144.0,Li-Ion,1300.0,1,Yes
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1300.0,1,480
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1400.0,1,720
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1300.0,1,Yes
IPS,5.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,2000.0,1,720
TFT,3.5,320.0,480.0,firefox,microsdhc,262144.0,131072.0,Li-Ion,1000.0,1,320
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,2500.0,1,1080
TFT,5.0,480.0,854.0,android 5,microsdhc,8388608.0,1048576.0,Li-Ion,2500.0,1,1080
TFT,4.0,480.0,800.0,android 5,microsdhc,4194304.0,524288.0,Li-Ion,2000.0,1,720
TFT,4.5,480.0,854.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,1080
TFT,4.5,480.0,854.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,1080
IPS,5.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,2000.0,1,720
IPS,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1400.0,1,720
IPS,8.0,800.0,1280.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,4100.0,1,Yes
IPS,8.0,1200.0,1920.0,android 4,microsdhc,33554432.0,8388608.0,Li-Ion,4060.0,1,1080
IPS,6.0,1080.0,1920.0,android 4,microsdhc,16777216.0,2097152.0,Li-Ion,3100.0,1,1080
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1300.0,1,480
TFT,4.5,480.0,854.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1800.0,1,720
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0,Li-Ion,1300.0,1,480
TFT,8.0,800.0,1280.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,3240.0,1,Yes
TFT,2.8,240.0,320.0,,microsdhc,16384.0,,Li-Ion,750.0,1,240
TFT,2.4,240.0,320.0,,microsdhc,131072.0,65536.0,Li-Ion,750.0,1,Other
TFT,1.8,128.0,160.0,,microsdhc,131072.0,,Li-Ion,750.0,1,
TFT,2.4,240.0,320.0,,microsdhc,4096.0,4096.0,Li-Ion,850.0,1,320
TFT,2.4,240.0,320.0,,microsdhc,131072.0,65536.0,Li-Ion,850.0,1,320
IPS,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,3240.0,1,Yes
TFT,7.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,2840.0,1,Yes
IPS,5.9,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,3400.0,1,1080
IPS,5.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,3000.0,1,1080
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,2000.0,1,1080
TFT,7.0,540.0,960.0,firefox,microsdxc,,,Li-Ion,,1,Yes
IPS,4.5,540.0,960.0,firefox,microsdhc,4194304.0,1048576.0,Li-Ion,2000.0,1,1080
IPS,4.5,540.0,960.0,firefox,microsdhc,4194304.0,524288.0,Li-Ion,1700.0,1,720
TFT,3.5,320.0,480.0,firefox,microsdhc,4194304.0,524288.0,Li-Ion,1300.0,1,480
