DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram
IPS,5.7,720.0,1440.0,android 7,microsdxc,33554432.0,3145728.0
IPS,5.5,720.0,1440.0,android 8,microsdxc,16777216.0,2097152.0
IPS,5.3,480.0,960.0,android 8,microsdhc,16777216.0,2097152.0
IPS,6.0,720.0,1440.0,android 7,microsdxc,16777216.0,1048576.0
TFT,2.4,240.0,320.0,kaios,no,4194304.0,524288.0
TFT,10.1,1280.0,800.0,android 8,microsdxc,16777216.0,1048576.0
TFT,7.0,600.0,1024.0,android 8,microsdxc,8388608.0,1048576.0
IPS,5.2,1080.0,1920.0,android 7,microsdxc,33554432.0,3145728.0
IPS,5.2,1080.0,1920.0,android 7,microsdxc,16777216.0,3145728.0
IPS,6.0,1080.0,1920.0,android 7,microsdhc,33554432.0,3145728.0
IPS,5.5,1080.0,1920.0,android 7,microsdxc,33554432.0,3145728.0
IPS,5.0,720.0,1280.0,android 7,microsdxc,8388608.0,1048576.0
IPS,5.2,720.0,1280.0,android 7,microsdxc,16777216.0,2097152.0
IPS,5.2,1080.0,1920.0,android 7,microsdxc,33554432.0,3145728.0
IPS,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0
IPS,5.0,480.0,854.0,android 6,microsdhc,8388608.0,1048576.0
IPS,5.2,720.0,1280.0,android 6,microsdhc,33554432.0,3145728.0
IPS,5.0,720.0,1280.0,android 6,microsdhc,16777216.0,1572864.0
IPS,6.0,720.0,1280.0,android 7,microsdhc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 6,microsdxc,16777216.0,2097152.0
IPS,5.5,720.0,1280.0,android 6,microsdhc,8388608.0,1048576.0
IPS,5.5,720.0,1280.0,android 6,microsdxc,16777216.0,2097152.0
OLED,5.0,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0
IPS,5.0,480.0,854.0,android 6,microsdhc,8388608.0,1048576.0
IPS,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0
TFT,7.0,600.0,1024.0,android 6,microsdhc,8388608.0,1048576.0
IPS,5.5,1080.0,1920.0,android 6,microsdxc,16777216.0,2097152.0
IPS,5.5,720.0,1280.0,android 6,microsdhc,16777216.0,1572864.0
IPS,5.0,720.0,1280.0,android 6,microsdxc,8388608.0,1048576.0
OLED,5.5,1080.0,1920.0,Microsoft Windows 10,microsdxc,67108864.0,4194304.0
OLED,5.5,1440.0,2560.0,android 6,microsdxc,33554432.0,3145728.0
IPS,5.2,1080.0,1920.0,android 6,microsdxc,16777216.0,3145728.0
IPS,5.5,720.0,1280.0,Microsoft Windows 10,microsdhc,16777216.0,2097152.0
OLED,0.95,96.0,64.0,proprietary,no,,
TFT,7.0,600.0,1024.0,android 6,microsdhc,8388608.0,1048576.0
IPS,6.0,540.0,960.0,android 5,microsdxc,8388608.0,1048576.0
IPS,6.0,720.0,1280.0,android 5,microsdhc,16777216.0,1572864.0
TFT,4.0,480.0,800.0,android 6,microsdhc,8388608.0,1048576.0
TFT,3.5,320.0,480.0,android 5,microsdhc,4194304.0,524288.0
IPS,8.0,800.0,1280.0,Microsoft Windows 10,microsdhc,8388608.0,1048576.0
TFT,5.5,720.0,1280.0,android 5,microsdxc,8388608.0,1048576.0
TFT,5.0,480.0,854.0,android 5,microsdxc,8388608.0,1048576.0
IPS,5.5,720.0,1280.0,android 5,microsdhc,16777216.0,2097152.0
IPS,1.22,240.0,204.0,proprietary,no,8192.0,
TFT,1.22,240.0,204.0,proprietary,no,8192.0,
IPS,5.0,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0
TFT,1.8,128.0,160.0,,no,4096.0,
TFT,2.4,240.0,320.0,,no,16384.0,
IPS,5.5,1080.0,1920.0,android 5,microsdxc,16777216.0,2097152.0
IPS,10.1,800.0,1280.0,android 5,microsdxc,16777216.0,1048576.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
IPS,5.0,720.0,1280.0,android 5,microsdhc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0
IPS,5.5,720.0,1280.0,android 4,microsdhc,16777216.0,2097152.0
TFT,4.5,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
IPS,5.5,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
IPS,5.5,1080.0,1920.0,android 5,microsdxc,33554432.0,2097152.0
IPS,4.7,720.0,1280.0,android 5,microsdxc,16777216.0,1572864.0
TFT,3.5,320.0,480.0,firefox,microsdhc,524288.0,262144.0
TFT,5.5,720.0,1280.0,android 5,microsdxc,8388608.0,1048576.0
IPS,5.5,540.0,960.0,android 5,microsdhc,8388608.0,1048576.0
TFT,8.0,800.0,1280.0,android 4,microsdhc,4194304.0,1048576.0
TFT,7.0,600.0,1024.0,android 5,microsdhc,4194304.0,1048576.0
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,524288.0
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,524288.0
IPS,9.6,800.0,1280.0,android 5,microsdhc,8388608.0,1048576.0
TFT,5.0,480.0,854.0,android 4,microsdhc,8388608.0,1048576.0
TFT,4.5,480.0,854.0,android 4,microsdhc,4194304.0,1048576.0
